Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,Baltimore RavensVMiami Dolphins,BAL,Lamar Jackson,QB,5,324,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.56
2019,1,Baltimore RavensVMiami Dolphins,BAL,Marquise Brown,WR,0,0,0,0,4,2,147,0,0,0,0,0,0,0,0,0,0,0,28.7
2019,1,Baltimore RavensVMiami Dolphins,BAL,Mark Ingram,RB,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7
2019,1,Baltimore RavensVMiami Dolphins,BAL,Mark Andrews,TE,0,0,0,0,8,1,108,0,0,0,0,0,0,0,0,0,0,0,20.8
2019,1,Baltimore RavensVMiami Dolphins,MIA,Ryan Fitzpatrick,QB,1,185,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.2
2019,1,Baltimore RavensVMiami Dolphins,BAL,Willie Snead,WR,0,0,0,0,2,1,41,0,0,0,0,0,0,0,0,0,0,0,11.1
2019,1,Baltimore RavensVMiami Dolphins,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,11.0
2019,1,Baltimore RavensVMiami Dolphins,MIA,Preston Williams,WR,0,0,0,0,3,1,24,0,0,0,0,0,0,0,0,0,0,0,9.9
2019,1,Baltimore RavensVMiami Dolphins,MIA,DeVante Parker,WR,0,0,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0,0,9.0
2019,1,Baltimore RavensVMiami Dolphins,BAL,Robert Griffin III,QB,1,55,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1
2019,1,Baltimore RavensVMiami Dolphins,BAL,Miles Boykin,WR,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,7.0
2019,1,Baltimore RavensVMiami Dolphins,BAL,Patrick Ricard,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2019,1,Baltimore RavensVMiami Dolphins,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.0
2019,1,Baltimore RavensVMiami Dolphins,BAL,Anthony Levine,,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
2019,1,Baltimore RavensVMiami Dolphins,BAL,Hayden Hurst,TE,0,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,1,Baltimore RavensVMiami Dolphins,BAL,Gus Edwards,RB,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,1,Baltimore RavensVMiami Dolphins,BAL,Nick Boyle,TE,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4.1
2019,1,Baltimore RavensVMiami Dolphins,MIA,Mike Gesicki,TE,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,4.1
2019,1,Baltimore RavensVMiami Dolphins,MIA,Kenyan Drake,RB,0,0,0,12,2,0,15,0,0,0,0,0,0,0,0,0,0,0,3.7
2019,1,Baltimore RavensVMiami Dolphins,MIA,Allen Hurns,WR,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2.7
2019,1,Baltimore RavensVMiami Dolphins,BAL,Justice Hill,RB,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
2019,1,Baltimore RavensVMiami Dolphins,MIA,Albert Wilson,WR,0,0,0,1,2,0,13,0,0,0,0,0,0,0,0,0,0,0,2.4
2019,1,Baltimore RavensVMiami Dolphins,MIA,Kalen Ballage,RB,0,0,0,-1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.7
2019,1,Baltimore RavensVMiami Dolphins,BAL,Seth Roberts,WR,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2019,1,Baltimore RavensVMiami Dolphins,MIA,Mark Walton,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019,1,Baltimore RavensVMiami Dolphins,BAL,Cyrus Jones,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Baltimore RavensVMiami Dolphins,MIA,Josh Rosen,QB,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8
2019,1,Baltimore RavensVMiami Dolphins,MIA,Jakeem Grant,WR,0,0,0,0,1,0,-3,0,1,0,0,0,0,0,0,0,0,0,-1.8
