Season,Week,Game,Team,Name,Code,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Jameis Winston,WinsJa00,,0,111,1,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.34
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Taysom Hill,HillTa00,,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Tony Jones,JoneTo04,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Alvin Kamara,KamaAl00,,0,0,0,5,4,0,25,0,0,0,0,0,0,0,0,0,0,0,5.0
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Deonte Harris,HarrDe07,,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.5
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Lil'Jordan Humphrey,HumpLi01,,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Juwan Johnson,JohnJu02,,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,2.8
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Chris Hogan,HogaCh00,,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Marquez Callaway,CallMa01,,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Ty Montgomery,MontTy01,,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Sam Darnold,DarnSa00,,2,305,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.9
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Christian McCaffrey,McCaCh01,,0,0,1,72,5,0,65,0,0,0,0,0,0,0,0,0,0,0,22.2
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Chuba Hubbard,HubbCh01,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2021,2,New Orleans SaintsVCarolina Panthers,CAR,D.J. Moore,MoorD.00,,0,0,0,0,8,1,79,0,0,0,0,0,0,0,0,0,0,0,17.9
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Dan Arnold,ArnoDa00,,0,0,0,0,3,0,55,0,0,0,0,0,0,0,0,0,0,0,7.0
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Brandon Zylstra,ZylsBr00,,0,0,0,0,3,1,44,0,0,0,0,0,0,0,0,0,0,0,11.9
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Robby Anderson,AndeRo04,,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,5.3
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Terrace Marshall Jr.,MarsTe00,,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3.2
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Ian Thomas,ThomIa00,,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Alex Armah,ArmaAl00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Alex Erickson,EricAl01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2021,2,New Orleans SaintsVCarolina Panthers,NOR,Aldrick Rosas,RosaAl00,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2021,2,New Orleans SaintsVCarolina Panthers,CAR,Zane Gonzalez,GonzZa00,,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
